,,,,,,,PILLARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Transcript Complete & Delivered?,Behind the Scenes in Ambassador Resources page?,Guest on Global Resources Map?,COMMUNITY,CULTURE,ECONOMY,ECOLOGY,HEALTH,BIOCHAR,BIO-DYNAMICS,BUSINESS,CLIMATE & SCIENCE,COMMUNITY,ECOLOGY & NATURE,EDUCATION,ESOTERICA,FARMING & FOOD,GREEN BUILDING,GREEN FAITH,HEALTH & WELLNESS,HERBAL MEDICINE,IMPACT INVESTING,INDIGENOUS WISDOM,MEDIA BOOKS & CONTENT,PERMA-CULTURE,POLICY & GOVERNMT,REGEN / SOCIAL ENTERPRISE,SOIL,SUSTAIN-ABILITY,TECHNOLOGY & MATERIALS,,COLORAOD & WYOMING
104,Geoffrey May,Wildlands Restoration Volunteers,"Denver, CO",X,X,X,X,,,X,,,,,X,X,X,X,,,,,,,,,,,,,,,,,1
105,Aaron Perry,Intro to Accounting,"Lyons, CO",X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,1
106,Jackie Bowen,Clean Label Project,"Boulder, CO",X,X,X,,,,X,X,,,X,,X,,X,,X,,,X,,,,,,X,,,,,,1
107,Elaine Blumenhein,Joyful Journey Hot Springs Spa,"Moffat, CO",X,X,X,X,,,,X,,,X,,X,,,,,,,X,,,,,,,,,,,,1
108,Ann Armbrecht,"""Business of Botanicals""",Central Vermont,X,X,X,,,X,X,X,,,X,,X,X,X,,,,,,X,,,X,,,,,X,,,
109,Dr. Robert Cloninger,"Anthropedia, etc.","St. Louis, MO",X,X,X,,X,X,X,X,,,X,X,X,X,X,,,,,X,,,,X,,,,,X,,,
110,Brigitte Mars,Hemp episode,"Boulder, CO",X,X,X,X,X,,X,X,,,,,X,,X,,,,,X,X,,,X,,,,,X,,,1
111,Gero Leson,Dr Bronner's - Honor Thy Label; Dr. Bronner's,"Santa Ana, CA",X,X,X,,X,X,X,X,,,X,,X,X,,,X,,,X,,,,X,,,X,X,X,,,
112,Layth Matthews,Four Noble Truths of Wealth,"Vancouver, BC, Canada",X,X,X,,X,X,,X,,,X,,,,,,,,,X,,,,X,,,,,X,,,
113,Stephen Brooks,EcoVersity,Costa Rica,X,X,X,X,,,X,,,,,,X,X,X,,X,,,,,,,,X,,X,X,,,,
114,Elizabeth Whitlow,Regenerative Organic Alliance,California,X,X,X,,,X,X,X,,,X,,,X,,,X,,,,,,,,,,X,X,X,,,
115,Brad Lidge & Aaron Perry,Y on Earth Community,"Boulder, CO",X,X,X,X,X,,X,,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,X,X,X,,,1
116,David Sandoval,"CEO, Purium","Los Angeles, CA",X,X,X,X,,,X,X,,,X,,X,X,X,,X,,,X,X,,,,,,,X,X,X,,
117,Michael Bronner,"President, Dr Bronner's (Chocolate Episode)","Santa Ana, CA",X,X,X,X,,X,X,X,,,X,,,X,,,X,,,X,,,,,,,X,X,X,X,,
118,Miguel Gil,"CEO, Organic India USA","Boulder, CO",X,X,X,X,X,X,X,X,,,X,,X,X,,,X,,,X,X,,,,,,X,,X,,,1
119,Richard Hardiman,"CEO, RanMarine Technology","Rotterdam, Netherlands",X,X,X,,,X,X,,,,X,X,,,,,,,,,,,,,,,X,,X,X,,
120,Rowdy Yeats,"CEO, High Plains Biochar","Laramie, WY",X,X,X,,,,X,,X,,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,,1
121,Oliver Retzloff w/ Eric Knutson,Wild Nectar Farms,"Hygiene, CO",X,X,X,X,X,,X,X,,,,,X,X,,,X,,,X,,,,,X,,X,X,X,,,1
122,David Laird,Biochar Science,"Ames, IA",X,X,X,,,,X,,X,,,X,,X,X,,X,,,,,,,,,X,X,X,X,X,,
123,Marissa Pulaski,Drylands Agroecology Research,"Lyons, CO",X,X,X,X,X,,X,X,,X,,,X,X,X,,X,,,X,X,,X,,X,,X,X,X,,,1
124,Nick DiDomenico,Drylands Agroecology Research,"Lyons, CO",X,X,X,X,X,,X,X,X,X,,X,X,X,X,,X,,,X,,,X,,X,,X,X,X,,,1
125,Danielle Ryan Broida,"Author, ""Healing Adaptogens""","Los Angeles, CA",X,X,X,,,,,X,,,X,,,,X,,X,,,X,X,,X,X,,,,,,,,
126,David George Haskell,"Author, ""Sounds Wild & Broken""","Sewanee, TN",X,X,X,,,,X,,,,,X,,X,X,,,,,,,,,X,,,,,X,,,
127,John Perkins,"Author, ""Confessions of an Economic Hit Man""","Bainbridge Island, WA",X,X,X,,X,X,X,,,,X,X,X,X,X,,,,,,,,X,X,,,,,X,,,
128,Ruby Au,"Head of North America, Ecosia","Berlin, Germany",X,X,X,,,X,X,,,,X,X,X,X,,,,,,,,,,,,,X,X,X,X,,
129,Bernard Amadei,Engineers Without Borders,"Boulder, CO",X,X,X,X,X,X,X,X,,,,X,X,X,X,,,,,X,,,,X,,,X,,X,X,,1
130,Hayley Nenadal,EarthX Film,"Telluride, CO",X,X,X,,X,,X,,,,,X,X,X,X,,,,,,,,,X,,,,,X,,,1
131,Douglas Gardner,Highland Institute,"Boulder, CO",X,X,X,,X,,,,,,,,X,,X,,,,,,,,,,,X,,,,,,1
132,Hanne Strong,Manitou Foundation,"Crestone, CO",X,X,X,X,X,,X,,,,,X,X,X,X,,X,,,,,,X,,,X,,,X,,,1
133,Aaron Perry,Y on Earth Community,"Boulder, CO",X,X,X,X,X,X,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,X,X,,,
134,Matthew Fox,Order of the Sacred Earth,"San Francisco, CA",X,X,X,X,X,,,,,,,,X,X,X,,,,X,,,,,X,,,,,X,,,
135,Chief Tuwe & Ari Brasil,Amazonian Indigenous Chief,Brasil,X,X,X,,X,,X,X,,,,,X,X,X,,,,,X,X,,X,,,,,,X,,,
136,Ben Raskin,"Author, ""Wood Chip Handbook""","Chippenham, Wiltshire, UK",X,X,X,,,,X,,,,,X,X,X,X,,X,,,,,,,X,X,,,X,X,,,
137,"Georgia Kelly, Mondragon Cooperatives",Praxis Institute,"Bilbao, Spain",X,X,X,,X,X,,,,,X,,X,,X,,,,,,,,,X,,,,,,,,
138,Tom Chi,At One Ventures,"San Francisco, CA",X,X,X,,,X,X,,,,X,X,,X,X,,,,,,,X,,,,,,,X,X,,
139,Nisha Poulose,Regenerative Rising,"Kottayam, Kerala, India",X,X,X,,X,,X,,,,,X,X,X,X,,X,,,,,,X,,,X,X,X,X,,,
140,"Dr. James Gordon, MD",Center for Mind-Body Medicine,"Washington, D.C.",X,X,X,,X,,,X,,,,,X,,X,,,,,,,,,X,,X,,,X,,,
141,"Nathan Stuck, B-Lab",Profitable Purpose Consulting,"Athens, GA",X,X,X,X,X,X,X,X,,,X,X,X,X,X,,,,,,,,,,,,X,,X,,,
142,Maria Rodale,"Author, ""Love, Nature, Magic""",Pennsylvania,X,X,X,,X,,X,X,,,,,X,X,X,,X,,,,,,,X,,,,,,,,
143,Cynthia Tina,Community Finders,Vermont,X,X,X,X,X,,X,X,,,X,,X,X,X,,X,,,X,,,,,X,,X,,X,,,
144,Vicki Hird,"Author, ""Rebugging the Planet""",UK,X,X,X,,,,X,,,,,X,,X,X,,,,,,,,,X,,X,,,X,,,
145,Jerry Tinianow,"Founder, Western Urban Sustainability Advisors","Denver, CO",X,X,X,X,,,X,,,,X,X,X,X,X,,,X,,,,,,,,X,,,X,X,,1
146,Matthew Derr,"Executive Director, Chelsea Green Foundation",Vermont,X,X,X,,X,,X,,,,X,X,X,X,X,,X,,,X,X,,,X,X,,,,X,,,
147,Sheila Foster,"Executive Director, Biodynamic Demeter Alliance","Ashland, OR",X,X,X,X,X,,X,X,,X,,,X,X,X,,X,,,,,,,,,,X,X,X,,,
148,Jorge Fontanez,"Executive Director, B-Lab USA & Can","Brooklyn, New York",X,X,X,X,X,X,X,X,,,X,X,X,X,X,,,,,,,,,,,X,X,,X,,,
149,Ander Etxeberria Otadui,"Head of Co-op Dissemination, Mondragon Corporation","Basque Country, Spain",X,X,X,X,X,X,,,,,X,,X,,X,,,,,,,,,,,,,,X,,,
150,Hunter Lovins,"Executive Director, Natural Capitalism - on COP 28","Hygiene, CO",X,X,X,,X,X,X,,,,X,X,,X,X,,,,,,,,,X,,X,,,X,X,,1
151,Nicolette Hahn Niman,"Author, ""Defending Beef""","Bolinas, California",X,X,X,,X,X,X,X,,,X,X,,X,X,,X,,,X,,,,X,,,X,X,X,,,
152,Ueli Hurter & Jean-Michel Florin,"Co-Directors, Goetheanum Sektion fur Agrikultur - Biodynamics","Dornach, Switzerland",X,X,X,X,X,,X,X,,X,,X,X,X,X,X,X,,,X,X,,,X,,,X,X,X,,,
153,Joy & Eric McEwen,"Authors, ""Raising Resilient Bees""","Cave Junction, Oregon",X,X,X,,,,X,X,,,X,X,X,X,X,,X,,,X,,,,X,X,,X,X,X,,,
154,Sarah Arao,"Founder, Mantle of Hope","Lira District, Uganda",X,X,X,X,X,X,X,X,,,X,X,X,X,X,,X,,X,X,,,X,,,,,,X,,,
155,John Rogers,"Author, ""The Renaissance Campaign""",Wisconsin,X,X,X,,X,X,,,,,X,X,X,,X,,,,,,,,,X,,X,,,X,X,,
156,Lisa Bronner,"Author, ""Soap & Soul""","San Diego, California",X,X,X,X,X,,X,X,,,,,X,X,X,,,,,X,,,,X,,,,,X,,,
157,Soraya Afzali,Expert Political Scientist - Dangers of Autocracy & Charismatic Leadership,Dublin Ireland / Afghanistan,X,X,X,X,X,,,,,,,,X,,X,,,,,,,,,,,X,,,,,,
158,Gabe Brown,"Author, ""Dirt to Soil""",North Dakota,X,X,X,,,X,X,X,,,X,X,X,X,X,,X,,X,X,,,,X,,X,X,X,X,,,
159,Helen Atthowe,"Author, ""The Ecological Farm""","Stevensville, MT",X,X,X,,,,X,X,,,,,,X,X,,X,,,X,,,,,X,,,X,X,,,
160,Sophie Monpeyssen & Olivier Girard,"Co-Founders, Le Ciel Foundation","London, England",X,X,X,X,X,,,,,,,,X,X,X,,,,,,,,X,,,,,,X,,,
161,Jake Plummer,"Co-Founder, Umbo","Boulder, CO",X,X,X,X,,,,X,,,X,,X,,X,,X,,,X,X,,,,,,,,,,,1
162,Dr. Elaine Ingham,"Founder, Soil Food Web","Corvalis, OR",X,X,X,,,,X,X,,,,X,,X,X,,X,,,X,,,,,X,,X,X,X,,,
163,Jared Meyers,"Chairman, Legacy Vacation Resorts","Orlando, FL",X,X,X,X,X,X,,,,,X,X,X,,,,,,,,,,,,,,X,,X,,,
